Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",37.1,70,182.6,0.4,2.6,233.3,440.6,2.4,0.4,41795.2,41977.8
"IG_1999",76.6,90.3,242.4,0.4,2.7,723.1,810.8,3.3,0.3,39094.9,39337.3
"IG_1995",0.1,5.2,6.1,0.9,1.2,0.6,33.3,5.5,0.2,39350.9,39357
"IG_1994",134,134.1,223.5,0.6,1.7,898.8,899.4,4,0.2,44241.5,44465
"IG_1992",83.3,124.6,229.3,0.5,1.8,534.2,799.1,3.5,0.3,40808,41037.3
"IG_1991",125.6,100.7,230.8,0.4,2.3,772.6,612.8,2.7,0.4,47152.4,47383.2
"IG_1990",68,103,222.9,0.5,2.2,483.3,829.4,3.7,0.3,45133,45355.9
"IG_1989",137.2,145.9,238.2,0.6,1.6,879.4,935.2,3.9,0.3,47577.1,47815.3
"IG_1996",120.9,130.1,210.1,0.6,1.6,736.9,793.9,3.8,0.3,45091,45301.1
"IG_1997",50,60,118.4,0.5,2,321.2,385.3,3.3,0.3,37299.2,37417.6
"IG_1979",133.8,96.4,198.6,0.5,2.1,859.1,619.2,3.1,0.3,36369.7,36568.3
"IG_1981",146.4,172.7,178.5,1,1,922.2,1214.5,6.8,0.1,37328.9,37507.4
"IG_1982",71.4,75.2,110.6,0.7,1.5,341.7,360,3.3,0.3,43265,43375.6
"IG_1984",105.5,81.5,208.8,0.4,2.6,669.7,517.5,2.5,0.4,42730.9,42939.7
"IG_1986",55.4,85.9,232.2,0.4,2.7,354,549.6,2.4,0.4,42405.9,42638.1
"IG_1988",67.3,41.3,101.2,0.4,2.5,430.5,263.7,2.6,0.4,45415.2,45516.4
"IG_1971",446,113.3,154.2,0.7,1.4,880.7,727.9,4.7,0.2,40254.4,40408.6
"IG_1974",96.3,103.6,121.4,0.9,1.2,579.7,626.5,5.2,0.2,42110.5,42231.9
"IG_1975",114.1,89.3,207.2,0.4,2.3,732.5,573.4,2.8,0.4,31090.4,31297.6
"IG_1976",53.5,79,216.1,0.4,2.7,342.7,506.3,2.3,0.4,43314.1,43530.2
"IG_1980",85.9,87.6,207.5,0.4,2.4,551,561.9,2.7,0.4,41052.8,41260.3
"IG_1983",110.8,61.4,120.9,0.5,2,710,393.1,3.3,0.3,26863.6,26984.5
"IG_1985",173.2,129.2,146.3,0.9,1.1,1110.3,828,5.7,0.2,40628.9,40775.2
"IG_1972",100.4,89.5,210.7,0.4,2.4,640.6,571,2.7,0.4,28327.9,28538.6
"IG_1977",0.3,1.7,0,0,0,2.1,11.1,0,0,18509,18509.4
"Total (IndyGo)",2593.1,2271.5,4318.9,0.5,1.9,14710.2,14863.5,3.4,0.3,"",""
