Bus No.,SOC charged,SOC used,Actual Distance,SOC/Miles,Miles/SOC,Energy Charge,Energy Used,kWh/Miles,Miles/kWh,Start Odometer,End Odometer
"IG_1899",0.6,32.9,81.3,0.4,2.5,4.4,207.9,2.6,0.4,43245.1,43326.4
"IG_1999",84.1,73.5,182.9,0.4,2.5,539.1,458.4,2.5,0.4,40835,41017.9
"IG_1995",84.4,81.4,187.9,0.4,2.3,541.5,522.2,2.8,0.4,40614.9,40802.8
"IG_1994",109.8,85.7,199.3,0.4,2.3,737.2,575.6,2.9,0.3,45599.2,45798.5
"IG_1992",40.2,67.1,168.6,0.4,2.5,257,429.5,2.5,0.4,42285.8,42454.4
"IG_1991",127,110.7,186,0.6,1.7,808.1,703.5,3.8,0.3,48707.1,48893.1
"IG_1990",0.2,0.7,0,0,0,1.2,4.4,0,0,46163.6,46163.6
"IG_1989",196.5,106.6,161.3,0.7,1.5,1260.8,684.1,4.2,0.2,49270.2,49431.5
"IG_1993",255.2,65.2,178.9,0.4,2.7,353,417.2,2.3,0.4,41149.9,41328.8
"IG_1996",148.1,126.6,172.6,0.7,1.4,898.4,740.4,4.3,0.2,46415.1,46587.7
"IG_1997",62.5,54.4,137.8,0.4,2.5,400.7,348.7,2.5,0.4,38227,38364.8
"IG_1998",0,0.9,0,0,0,0,5.7,0,0,31755.1,31755.3
"IG_1979",135.7,75.8,171.5,0.4,2.3,869,484.7,2.8,0.4,37792.4,37963.9
"IG_1981",182.1,141.9,199.6,0.7,1.4,1129.6,871.7,4.4,0.2,38783.9,38983.5
"IG_1982",78.5,119.6,206.9,0.6,1.7,377.4,575.2,2.8,0.4,44516.3,44723.2
"IG_1984",58.3,93,259.5,0.4,2.8,369.8,589.9,2.3,0.4,44035.2,44294.7
"IG_1988",0.9,4.9,0,0,0,155.1,321.6,0,0,45876,45876.2
"IG_1971",302.4,119.5,208.6,0.6,1.7,829.9,779.3,3.7,0.3,40948.1,41156.7
"IG_1974",120.6,74.8,98.3,0.8,1.3,767.3,473.5,4.8,0.2,43271.5,43369.8
"IG_1975",38.7,38.8,0,0,0,248.2,248.8,0,0,31331.7,31331.8
"IG_1976",26.8,90.1,165.3,0.5,1.8,128.9,433.5,2.6,0.4,44441,44606.3
"IG_1980",0,1.4,0,0,0,125.1,134.1,0,0,42321.3,42321.5
"IG_1983",68.6,86.1,225.9,0.4,2.6,440.7,553,2.4,0.4,28262.8,28488.7
"IG_1985",125.8,75.4,194.9,0.4,2.6,807.3,484,2.5,0.4,42056.5,42251.4
"IG_1970",58.9,84.8,203.9,0.4,2.4,377.3,544.1,2.7,0.4,30125.7,30329.6
"IG_1972",65.7,51,144.5,0.4,2.8,419.6,325.7,2.3,0.4,29420.6,29565.1
"IG_1977",108,94.3,163.6,0.6,1.7,686.2,598.3,3.7,0.3,18682.6,18846.2
"Total (IndyGo)",2479.6,1957.1,3899.8,0.5,2,13532.8,12515,3.2,0.3,"",""
