Transit_Day,Vehicle_ID,Boardings,Alightings
2020-06-01,1983,85,83
2020-06-01,1990,135,139
2020-06-01,1985,95,102
2020-06-01,1992,99,102
2020-06-01,1988,127,114
2020-06-01,1989,108,118
2020-06-01,1979,63,72
2020-06-01,1984,77,80
2020-06-01,1971,72,81
2020-06-01,1994,69,76
2020-06-01,1974,101,108
2020-06-01,1972,91,96
2020-06-01,1986,5,7
2020-06-01,1975,28,26
2020-06-01,1980,29,18
2020-06-01,1987,116,118
2020-06-01,1996,66,89
2020-06-01,1976,32,25
2020-06-01,1991,34,40
2020-06-01,1981,42,39
2020-06-02,1983,138,140
2020-06-02,1985,174,169
2020-06-02,1981,57,60
2020-06-02,1989,113,112
2020-06-02,1990,111,114
2020-06-02,1996,122,120
2020-06-02,1982,155,152
2020-06-02,1976,91,100
2020-06-02,1991,138,144
2020-06-02,1988,85,80
2020-06-02,1984,103,134
2020-06-02,1975,146,151
2020-06-02,1992,38,44
2020-06-02,1971,67,68
2020-06-02,1979,108,112
2020-06-02,1972,130,139
2020-06-02,1974,88,91
2020-06-02,1994,106,93
2020-06-02,1987,65,64
2020-06-02,1980,68,84
2020-06-03,1974,63,70
2020-06-03,1981,77,99
2020-06-03,1982,94,77
2020-06-03,1990,158,154
2020-06-03,1989,103,131
2020-06-03,1976,124,102
2020-06-03,1980,18,15
2020-06-03,1992,146,153
2020-06-03,1988,45,43
2020-06-03,1991,151,155
2020-06-03,1972,121,121
2020-06-03,1979,139,125
2020-06-03,1994,145,135
2020-06-03,1975,68,71
2020-06-03,1984,108,121
2020-06-03,1996,117,129
2020-06-03,1985,97,101
2020-06-03,1971,45,50
2020-06-03,1983,67,60
2020-06-03,1987,107,91
2020-06-03,1997,39,43
2020-06-03,1986,77,70
2020-06-04,1986,140,134
2020-06-04,1991,113,121
2020-06-04,1987,32,39
2020-06-04,1975,1,1
2020-06-04,1992,183,202
2020-06-04,1984,117,158
2020-06-04,1994,123,125
2020-06-04,1985,71,72
2020-06-04,1976,14,7
2020-06-04,1983,94,98
2020-06-04,1972,115,106
2020-06-04,1989,117,117
2020-06-04,1996,145,156
2020-06-04,1997,41,46
2020-06-04,1981,113,112
2020-06-04,1979,192,190
2020-06-04,1988,99,102
2020-06-04,1982,56,63
2020-06-04,1980,44,46
2020-06-04,1974,76,76
2020-06-04,1995,28,35
2020-06-04,1990,40,43
2020-06-05,1972,111,122
2020-06-05,1983,168,183
2020-06-05,1988,4,5
2020-06-05,1985,88,81
2020-06-05,1995,149,143
2020-06-05,1990,26,23
2020-06-05,1981,137,138
2020-06-05,1982,59,63
2020-06-05,1991,200,191
2020-06-05,1996,17,16
2020-06-05,1989,122,125
2020-06-05,1974,80,75
2020-06-05,1979,145,152
2020-06-05,1992,123,128
2020-06-05,1980,61,62
2020-06-05,1987,195,201
2020-06-05,1984,101,116
2020-06-05,1997,4,4
2020-06-05,1994,79,78
2020-06-05,1986,24,17
2020-06-05,1993,39,36
2020-06-06,1989,82,86
2020-06-06,1974,22,22
